session,exclusion_frames,gt_loop_radius_m,k_neighbors,gt_scale_used,N,gt_positives,ap,best_f1,best_f1_threshold,best_precision,best_recall,prediction_plot_threshold_mode,prediction_plot_threshold_value,descriptors_npz,groundtruth_csv
2012-01-08,150,5.0,1000,1.0,28127,4371,0.8802614334061027,0.8144938004087947,0.24939770996570587,0.8595020325203252,0.7739647677876916,fixed,0.1,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-08/m2dp_descriptors_2012-01-08.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-08.csv
2012-01-15,150,5.0,1000,1.0,33612,5593,0.8636218098372423,0.8002303926269385,0.24767810106277466,0.8640132669983416,0.7452172358305024,fixed,0.1,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-15/m2dp_descriptors_2012-01-15.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-15.csv
2012-01-22,150,5.0,1000,1.0,26145,2431,0.767445483722361,0.7203879011770645,0.23867586255073547,0.8210526315789474,0.6417112299465241,fixed,0.1,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-22/m2dp_descriptors_2012-01-22.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-22.csv
