session,exclusion_frames,gt_loop_radius_m,k_neighbors,gt_scale_used,N,gt_positives,ap,best_f1,best_f1_threshold,best_precision,best_recall,prediction_plot_threshold_mode,prediction_plot_threshold_value,descriptors_npz,groundtruth_csv
2012-01-08,150,10.0,1000,1.0,28127,4662,0.8683505550776798,0.8015817632002479,0.24939770996570587,0.8755081300813008,0.7391677391677391,fixed,0.1,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-08/m2dp_descriptors_2012-01-08.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-08.csv
2012-01-15,150,10.0,1000,1.0,33612,5993,0.8331442290039297,0.7737820097988958,0.24767810106277466,0.8675373134328358,0.6983147004838979,fixed,0.1,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-15/m2dp_descriptors_2012-01-15.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-15.csv
2012-01-22,150,10.0,1000,1.0,26145,2927,0.6995664929212787,0.6532539519601034,0.24137161672115326,0.8184156378600823,0.5435599590023915,fixed,0.1,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-22/m2dp_descriptors_2012-01-22.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-22.csv
