session,exclusion_frames,gt_loop_radius_m,k_neighbors,gt_scale_used,N,gt_positives,ap,best_f1,best_f1_threshold,best_precision,best_recall,prediction_plot_threshold_mode,prediction_plot_threshold_value,descriptors_npz,groundtruth_csv
2012-01-08,50,10.0,1000,1.0,28127,5824,0.780444402168168,0.6908236873002886,0.2585061192512512,0.6753033781567727,0.7070741758241759,fixed,0.3,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-08/m2dp_descriptors_2012-01-08.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-08.csv
2012-01-15,50,10.0,1000,1.0,33612,7278,0.816529812870721,0.7449843958978536,0.24103900790214539,0.8111650485436893,0.6887881286067601,fixed,0.3,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-15/m2dp_descriptors_2012-01-15.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-15.csv
2012-01-22,50,10.0,1000,1.0,26145,3894,0.6735945242368278,0.6019007391758616,0.22529275715351105,0.7294332723948812,0.512326656394453,fixed,0.3,/Users/felix/Projects/amr_hw3/velodyne_data/2012-01-22/m2dp_descriptors_2012-01-22.npz,/Users/felix/Projects/amr_hw3/ground_truth/groundtruth_2012-01-22.csv
